Matrix Size,Threads Count,Calculation Type,Average Result,Variance
128,1,simple,0.0466621,0.0
128,2,simple,0.0238764,0.0
128,3,simple,0.0165089,0.0
128,4,simple,0.0127044,0.0
128,5,simple,0.0104413,0.0
128,6,simple,0.00903549,0.0
128,7,simple,0.0129861,0.0
128,8,simple,0.0122329,0.0
128,9,simple,0.0114101,0.0
128,10,simple,0.0101796,0.0
128,11,simple,0.00936822,0.0
128,12,simple,0.00878788,0.0
128,13,simple,0.0121842,0.0
128,14,simple,0.012575,0.0
128,15,simple,0.0129472,0.0
128,16,simple,0.0124716,0.0
128,17,simple,0.0116789,0.0
128,18,simple,0.0121238,0.0
192,1,simple,0.165419,0.0
192,2,simple,0.0828061,0.0
192,3,simple,0.056896,0.0
192,4,simple,0.0432922,0.0
192,5,simple,0.0353681,0.0
192,6,simple,0.0300084,0.0
192,7,simple,0.0432242,0.0
192,8,simple,0.0411944,0.0
192,9,simple,0.0375325,0.0
192,10,simple,0.0340071,0.0
192,11,simple,0.0311759,0.0
192,12,simple,0.0283086,0.0
192,13,simple,0.0376784,0.0
192,14,simple,0.0403014,0.0
192,15,simple,0.0401111,0.0
192,16,simple,0.0358908,0.0
192,17,simple,0.0369415,0.0
192,18,simple,0.0384364,0.0
256,1,simple,0.392354,0.0
256,2,simple,0.201216,0.0
256,3,simple,0.137178,0.0
256,4,simple,0.103172,0.0
256,5,simple,0.0843175,0.0
256,6,simple,0.0824627,0.0
256,7,simple,0.102003,0.0
256,8,simple,0.096612,0.0
256,9,simple,0.0961157,0.0
256,10,simple,0.0791108,0.0
256,11,simple,0.0729993,0.0
256,12,simple,0.0676892,0.0
256,13,simple,0.0849721,0.0
256,14,simple,0.0838927,0.0
256,15,simple,0.087297,0.0
256,16,simple,0.0879591,0.0
256,17,simple,0.0874726,0.0
256,18,simple,0.0832749,0.0
320,1,simple,0.777115,0.0
320,2,simple,0.397599,0.0
320,3,simple,0.271969,0.0
320,4,simple,0.205059,0.0
320,5,simple,0.16513,0.0
320,6,simple,0.141161,0.0
320,7,simple,0.199566,0.0
320,8,simple,0.189348,0.0
320,9,simple,0.1705,0.0
320,10,simple,0.155881,0.0
320,11,simple,0.139815,0.0
320,12,simple,0.142209,0.0
320,13,simple,0.165089,0.0
320,14,simple,0.157719,0.0
320,15,simple,0.156618,0.0
320,16,simple,0.151359,0.0
320,17,simple,0.141225,0.0
320,18,simple,0.148511,0.0
384,1,simple,1.38005,0.0
384,2,simple,0.711695,0.0
384,3,simple,0.483809,0.0
384,4,simple,0.368933,0.0
384,5,simple,0.296256,0.0
384,6,simple,0.253663,0.0
384,7,simple,0.353991,0.0
384,8,simple,0.354402,0.0
384,9,simple,0.297815,0.0
384,10,simple,0.271301,0.0
384,11,simple,0.248553,0.0
384,12,simple,0.229584,0.0
384,13,simple,0.26131,0.0
384,14,simple,0.268742,0.0
384,15,simple,0.260497,0.0
384,16,simple,0.257867,0.0
384,17,simple,0.251732,0.0
384,18,simple,0.240797,0.0
448,1,simple,2.22005,0.0
448,2,simple,1.1441,0.0
448,3,simple,0.775735,0.0
448,4,simple,0.591001,0.0
448,5,simple,0.474291,0.0
448,6,simple,0.401342,0.0
448,7,simple,0.564077,0.0
448,8,simple,0.527517,0.0
448,9,simple,0.475062,0.0
448,10,simple,0.42937,0.0
448,11,simple,0.392384,0.0
448,12,simple,0.364182,0.0
448,13,simple,0.420278,0.0
448,14,simple,0.41789,0.0
448,15,simple,0.429476,0.0
448,16,simple,0.401647,0.0
448,17,simple,0.397777,0.0
448,18,simple,0.367649,0.0
512,1,simple,3.32934,0.0
512,2,simple,1.71955,0.0
512,3,simple,1.16657,0.0
512,4,simple,0.884396,0.0
512,5,simple,0.710836,0.0
512,6,simple,0.609842,0.0
512,7,simple,0.853217,0.0
512,8,simple,0.798782,0.0
512,9,simple,0.712034,0.0
512,10,simple,0.646635,0.0
512,11,simple,0.599723,0.0
512,12,simple,0.548701,0.0
512,13,simple,0.637182,0.0
512,14,simple,0.651166,0.0
512,15,simple,0.633761,0.0
512,16,simple,0.619606,0.0
512,17,simple,0.576611,0.0
512,18,simple,0.561531,0.0
576,1,simple,4.76137,0.0
576,2,simple,2.49277,0.0
576,3,simple,1.67036,0.0
576,4,simple,1.27627,0.0
576,5,simple,1.01665,0.0
576,6,simple,0.866236,0.0
576,7,simple,1.15519,0.0
576,8,simple,1.08065,0.0
576,9,simple,0.995773,0.0
576,10,simple,0.919703,0.0
576,11,simple,0.84004,0.0
576,12,simple,0.779274,0.0
576,13,simple,0.972243,0.0
576,14,simple,0.941272,0.0
576,15,simple,0.862895,0.0
576,16,simple,0.868083,0.0
576,17,simple,0.874141,0.0
576,18,simple,0.802135,0.0
640,1,simple,6.59403,0.0
640,2,simple,3.3706,0.0
640,3,simple,2.29987,0.0
640,4,simple,1.73604,0.0
640,5,simple,1.39686,0.0
640,6,simple,1.18353,0.0
640,7,simple,1.50847,0.0
640,8,simple,1.51954,0.0
640,9,simple,1.41829,0.0
640,10,simple,1.35474,0.0
640,11,simple,1.17092,0.0
640,12,simple,1.10078,0.0
640,13,simple,1.26445,0.0
640,14,simple,1.23274,0.0
640,15,simple,1.21015,0.0
640,16,simple,1.20647,0.0
640,17,simple,1.14606,0.0
640,18,simple,1.16407,0.0
704,1,simple,8.79975,0.0
704,2,simple,4.52796,0.0
704,3,simple,3.07778,0.0
704,4,simple,2.3102,0.0
704,5,simple,1.8676,0.0
704,6,simple,1.59164,0.0
704,7,simple,2.21262,0.0
704,8,simple,2.00499,0.0
704,9,simple,1.90735,0.0
704,10,simple,1.73586,0.0
704,11,simple,1.59536,0.0
704,12,simple,1.55335,0.0
704,13,simple,1.7142,0.0
704,14,simple,1.65019,0.0
704,15,simple,1.63534,0.0
704,16,simple,1.56361,0.0
704,17,simple,1.63356,0.0
704,18,simple,1.60954,0.0
768,1,simple,11.4483,0.0
768,2,simple,5.88656,0.0
768,3,simple,3.98477,0.0
768,4,simple,3.01997,0.0
768,5,simple,2.44464,0.0
768,6,simple,2.06213,0.0
768,7,simple,2.65982,0.0
768,8,simple,2.54396,0.0
768,9,simple,2.3406,0.0
768,10,simple,2.3477,0.0
768,11,simple,2.181,0.0
768,12,simple,2.03081,0.0
768,13,simple,2.25231,0.0
768,14,simple,2.26638,0.0
768,15,simple,2.28933,0.0
768,16,simple,2.11606,0.0
768,17,simple,2.1382,0.0
768,18,simple,2.06199,0.0
832,1,simple,14.7789,0.0
832,2,simple,7.55194,0.0
832,3,simple,5.10245,0.0
832,4,simple,3.86099,0.0
832,5,simple,3.10444,0.0
832,6,simple,2.63236,0.0
832,7,simple,3.3967,0.0
832,8,simple,3.11287,0.0
832,9,simple,3.22103,0.0
832,10,simple,3.04714,0.0
832,11,simple,2.82329,0.0
832,12,simple,2.63952,0.0
832,13,simple,2.85992,0.0
832,14,simple,2.91393,0.0
832,15,simple,2.76197,0.0
832,16,simple,2.8781,0.0
832,17,simple,2.79089,0.0
832,18,simple,2.81553,0.0
896,1,simple,18.4382,0.0
896,2,simple,9.45307,0.0
896,3,simple,6.38995,0.0
896,4,simple,4.87499,0.0
896,5,simple,3.90067,0.0
896,6,simple,3.32261,0.0
896,7,simple,4.26659,0.0
896,8,simple,3.82618,0.0
896,9,simple,3.85139,0.0
896,10,simple,3.93107,0.0
896,11,simple,3.63917,0.0
896,12,simple,3.44474,0.0
896,13,simple,3.68964,0.0
896,14,simple,3.69238,0.0
896,15,simple,3.66503,0.0
896,16,simple,3.57766,0.0
896,17,simple,3.58186,0.0
896,18,simple,3.54512,0.0
960,1,simple,23.1131,0.0
960,2,simple,11.9216,0.0
960,3,simple,8.00773,0.0
960,4,simple,6.11275,0.0
960,5,simple,4.83112,0.0
960,6,simple,4.11948,0.0
960,7,simple,5.65459,0.0
960,8,simple,4.80554,0.0
960,9,simple,4.73866,0.0
960,10,simple,4.61646,0.0
960,11,simple,4.53085,0.0
960,12,simple,4.28884,0.0
960,13,simple,4.4841,0.0
960,14,simple,4.57715,0.0
960,15,simple,4.46852,0.0
960,16,simple,4.44992,0.0
960,17,simple,4.34744,0.0
960,18,simple,4.68829,0.0
1024,1,simple,28.4745,0.0
1024,2,simple,14.9892,0.0
1024,3,simple,9.89519,0.0
1024,4,simple,7.50305,0.0
1024,5,simple,6.0147,0.0
1024,6,simple,5.07025,0.0
1024,7,simple,6.60078,0.0
1024,8,simple,5.88574,0.0
1024,9,simple,5.656,0.0
1024,10,simple,5.76564,0.0
1024,11,simple,5.53491,0.0
1024,12,simple,5.28462,0.0
1024,13,simple,5.45896,0.0
1024,14,simple,5.59266,0.0
1024,15,simple,5.52429,0.0
1024,16,simple,5.51123,0.0
1024,17,simple,5.41342,0.0
1024,18,simple,5.46118,0.0
